Id,Predicted
4,2524.47509765625
6,2528.392333984375
8,2611.685791015625
9,2382.073974609375
11,2517.784912109375
15,2503.175537109375
19,2390.228759765625
20,2493.044677734375
32,2375.362060546875
33,2422.8916015625
40,2608.273193359375
42,2436.73974609375
46,2493.08056640625
50,2539.97509765625
57,2524.42138671875
59,2489.965087890625
66,2597.175537109375
73,2540.22509765625
78,2455.843017578125
91,2392.472900390625
93,2603.385986328125
101,2413.972412109375
102,2546.658447265625
106,2573.4345703125
111,2547.3486328125
113,2423.084716796875
114,2577.8720703125
118,2596.40625
119,2603.712158203125
126,2547.5146484375
127,2384.357666015625
138,2425.95849609375
143,2499.2666015625
145,2587.447998046875
148,2580.1240234375
151,2459.5625
153,2536.590087890625
157,2639.241943359375
159,2479.719970703125
165,2433.892333984375
170,2443.787109375
171,2476.741455078125
173,2471.1259765625
177,2535.28369140625
183,2482.61865234375
199,2561.8408203125
225,2544.236572265625
231,2511.165283203125
232,2541.85302734375
233,2388.677734375
238,2657.488037109375
244,2645.939208984375
245,2527.837890625
247,2471.346435546875
248,2434.66796875
250,2432.4638671875
254,2509.274658203125
255,2579.684326171875
256,2577.148193359375
257,2435.776123046875
258,2357.314453125
259,2428.516845703125
263,2484.456787109375
266,2450.26220703125
267,2429.676513671875
273,2589.91455078125
274,2541.061279296875
276,2521.73828125
285,2572.77587890625
286,2630.119140625
288,2407.7626953125
299,2547.233642578125
305,2578.576416015625
307,2560.54150390625
312,2588.165283203125
314,2546.66015625
315,2468.88037109375
316,2537.019287109375
323,2608.52197265625
326,2586.638916015625
327,2380.267822265625
329,2700.761962890625
330,2529.890625
331,2437.099365234375
333,2518.71435546875
336,2600.4921875
337,2440.64111328125
338,2492.263427734375
340,2528.518798828125
344,2556.121826171875
346,2533.34228515625
349,2489.525390625
350,2545.73779296875
359,2565.427001953125
361,2661.802490234375
363,2550.103759765625
365,2526.56982421875
373,2395.548583984375
376,2567.078857421875
382,2475.268310546875
387,2411.503662109375
388,2525.02294921875
392,2480.736083984375
394,2481.486083984375
399,2375.600830078125
406,2509.001708984375
408,2508.455810546875
419,2573.943359375
422,2602.236328125
425,2524.53173828125
427,2433.109619140625
433,2592.662109375
442,2495.013916015625
451,2520.14990234375
457,2463.645263671875
458,2418.379150390625
459,2349.2568359375
462,2415.779296875
472,2526.799560546875
474,2432.977294921875
487,2558.44775390625
491,2409.781982421875
493,2556.302490234375
494,2510.98388671875
499,2518.8935546875
502,2566.473388671875
503,2564.791748046875
504,2449.02490234375
508,2479.29833984375
513,2394.3671875
524,2682.984375
525,2453.450927734375
528,2594.538818359375
531,2620.20263671875
541,2622.539794921875
551,2549.3310546875
553,2548.596435546875
580,2369.11572265625
583,2480.326171875
586,2553.703125
587,2563.884521484375
598,2701.318359375
602,2443.279541015625
603,2359.131591796875
605,2494.56494140625
612,2608.810546875
613,2309.09521484375
615,2536.6552734375
619,2427.47998046875
626,2477.672607421875
632,2525.816162109375
633,2614.175048828125
638,2544.5048828125
649,2426.8857421875
652,2460.884765625
657,2470.360107421875
661,2651.806396484375
663,2498.07080078125
664,2603.103759765625
667,2484.80029296875
671,2410.444580078125
672,2380.54833984375
677,2441.234130859375
678,2460.564697265625
685,2606.951171875
689,2523.769287109375
697,2393.879150390625
699,2608.810546875
700,2396.6865234375
702,2621.81884765625
707,2430.916259765625
708,2556.371826171875
710,2451.580322265625
714,2411.646728515625
720,2417.941650390625
726,2477.059326171875
727,2474.31005859375
728,2464.4697265625
730,2580.9111328125
731,2368.829345703125
732,2497.949951171875
734,2447.0380859375
738,2525.089599609375
742,2445.5947265625
750,2543.621337890625
751,2611.612060546875
752,2498.924560546875
753,2415.85107421875
765,2492.8271484375
766,2790.237060546875
768,2547.233642578125
769,2524.868896484375
773,2519.01220703125
775,2537.674072265625
778,2404.914306640625
779,2393.26806640625
789,2376.41748046875
790,2518.769287109375
794,2547.14990234375
803,2536.70947265625
809,2371.273193359375
817,2465.8037109375
820,2389.41796875
822,2320.5576171875
833,2459.76806640625
836,2570.70361328125
837,2309.268310546875
839,2492.5166015625
840,2412.642822265625
842,2583.216064453125
845,2432.596435546875
853,2538.797607421875
857,2584.99365234375
866,2411.651123046875
867,2515.026611328125
868,2495.546875
871,2500.91748046875
877,2372.240478515625
882,2633.714599609375
885,2434.305908203125
887,2499.460205078125
890,2524.645263671875
895,2448.029541015625
896,2468.9052734375
905,2319.552978515625
912,2514.25634765625
913,2524.461669921875
920,2564.82958984375
928,2485.898193359375
932,2412.88525390625
938,2498.571533203125
942,2504.754150390625
953,2620.576171875
954,2678.907470703125
955,2557.277099609375
958,2444.027099609375
960,2541.9873046875
972,2479.266357421875
977,2701.545166015625
984,2362.967041015625
994,2540.860595703125
995,2435.024658203125
1007,2456.342041015625
1011,2578.543701171875
1014,2419.59326171875
1015,2563.5185546875
1016,2570.49267578125
1021,2447.099853515625
1028,2436.6572265625
1034,2742.150146484375
1038,2461.5556640625
1044,2441.51806640625
1046,2410.3310546875
1048,2422.057373046875
1049,2574.49853515625
1051,2391.101318359375
1052,2489.663330078125
1054,2507.309814453125
1059,2472.826171875
1060,2566.701416015625
1068,2437.9814453125
1069,2460.421875
1071,2372.14501953125
